# NEFT 仿真实验日志
实验名 (experiment.name): default
启动时间:                 2026-05-28 18:35:45
日志目录:                 F:\Data Structure\NEFT-System-main\NEFT-System\log\default
配置文件:                 F:\Data Structure\NEFT-System-main\NEFT-System\configs\dynamic\samll.yaml

---- 事件日志 ----
[2026-05-28 18:35:45] [START] Experiment 'default' started.
[2026-05-28 18:35:45] [INFO] [HEADLESS] mode=dynamic, strategy=nearest_task, fleet_size=6, stations=2, initial_tasks=5, task_budget=None, max_sim_seconds=None, task_seed=record(base_seed=1536654483), seed_file=F:\Data Structure\NEFT-System-main\NEFT-System\log\default\task_generation_seed.yaml
[2026-05-28 18:37:26] [PROGRESS] sim_elapsed=11520s strategy=nearest_task tasks total=18 completed=16 pending=0 in_progress=2 timeout=0 vehicles idle=3 moving=3 charging=0
[2026-05-28 18:37:29] [PROGRESS] sim_elapsed=11880s strategy=nearest_task tasks total=18 completed=16 pending=0 in_progress=2 timeout=0 vehicles idle=3 moving=2 charging=1
[2026-05-28 18:37:32] [PROGRESS] sim_elapsed=12240s strategy=nearest_task tasks total=18 completed=16 pending=0 in_progress=2 timeout=0 vehicles idle=3 moving=2 charging=1
[2026-05-28 18:37:35] [PROGRESS] sim_elapsed=12600s strategy=nearest_task tasks total=18 completed=17 pending=0 in_progress=1 timeout=0 vehicles idle=4 moving=2 charging=0
[2026-05-28 18:37:38] [PROGRESS] sim_elapsed=12960s strategy=nearest_task tasks total=18 completed=17 pending=0 in_progress=1 timeout=0 vehicles idle=4 moving=2 charging=0
[2026-05-28 18:37:42] [PROGRESS] sim_elapsed=13320s strategy=nearest_task tasks total=21 completed=17 pending=0 in_progress=4 timeout=0 vehicles idle=1 moving=5 charging=0
[2026-05-28 18:37:45] [PROGRESS] sim_elapsed=13680s strategy=nearest_task tasks total=21 completed=19 pending=0 in_progress=2 timeout=0 vehicles idle=1 moving=5 charging=0
[2026-05-28 18:37:48] [PROGRESS] sim_elapsed=14040s strategy=nearest_task tasks total=21 completed=20 pending=0 in_progress=1 timeout=0 vehicles idle=4 moving=2 charging=0
[2026-05-28 18:37:51] [PROGRESS] sim_elapsed=14400s strategy=nearest_task tasks total=21 completed=20 pending=0 in_progress=1 timeout=0 vehicles idle=3 moving=2 charging=1
[2026-05-28 18:37:54] [PROGRESS] sim_elapsed=14760s strategy=nearest_task tasks total=22 completed=21 pending=0 in_progress=1 timeout=0 vehicles idle=2 moving=2 charging=2
[2026-05-28 18:37:57] [PROGRESS] sim_elapsed=15120s strategy=nearest_task tasks total=22 completed=21 pending=0 in_progress=1 timeout=0 vehicles idle=2 moving=2 charging=2
[2026-05-28 18:38:00] [PROGRESS] sim_elapsed=15480s strategy=nearest_task tasks total=22 completed=21 pending=0 in_progress=1 timeout=0 vehicles idle=3 moving=3 charging=0
[2026-05-28 18:38:03] [PROGRESS] sim_elapsed=15840s strategy=nearest_task tasks total=22 completed=21 pending=0 in_progress=1 timeout=0 vehicles idle=2 moving=3 charging=1
[2026-05-28 18:38:06] [PROGRESS] sim_elapsed=16200s strategy=nearest_task tasks total=22 completed=22 pending=0 in_progress=0 timeout=0 vehicles idle=3 moving=3 charging=0
[2026-05-28 18:38:09] [PROGRESS] sim_elapsed=16560s strategy=nearest_task tasks total=22 completed=22 pending=0 in_progress=0 timeout=0 vehicles idle=3 moving=3 charging=0
[2026-05-28 18:38:12] [PROGRESS] sim_elapsed=16920s strategy=nearest_task tasks total=22 completed=22 pending=0 in_progress=0 timeout=0 vehicles idle=4 moving=2 charging=0
[2026-05-28 18:38:16] [PROGRESS] sim_elapsed=17280s strategy=nearest_task tasks total=25 completed=22 pending=0 in_progress=3 timeout=0 vehicles idle=2 moving=3 charging=1
[2026-05-28 18:38:19] [PROGRESS] sim_elapsed=17640s strategy=nearest_task tasks total=25 completed=23 pending=0 in_progress=2 timeout=0 vehicles idle=4 moving=1 charging=1
[2026-05-28 18:38:22] [PROGRESS] sim_elapsed=18000s strategy=nearest_task tasks total=25 completed=23 pending=0 in_progress=2 timeout=0 vehicles idle=3 moving=3 charging=0
[2026-05-28 18:38:25] [PROGRESS] sim_elapsed=18360s strategy=nearest_task tasks total=25 completed=24 pending=0 in_progress=1 timeout=0 vehicles idle=4 moving=2 charging=0
[2026-05-28 18:38:28] [PROGRESS] sim_elapsed=18720s strategy=nearest_task tasks total=25 completed=25 pending=0 in_progress=0 timeout=0 vehicles idle=3 moving=3 charging=0
[2026-05-28 18:38:31] [PROGRESS] sim_elapsed=19080s strategy=nearest_task tasks total=25 completed=25 pending=0 in_progress=0 timeout=0 vehicles idle=4 moving=2 charging=0
[2026-05-28 18:38:34] [PROGRESS] sim_elapsed=19440s strategy=nearest_task tasks total=25 completed=25 pending=0 in_progress=0 timeout=0 vehicles idle=4 moving=2 charging=0
[2026-05-28 18:38:37] [PROGRESS] sim_elapsed=19800s strategy=nearest_task tasks total=25 completed=25 pending=0 in_progress=0 timeout=0 vehicles idle=6 moving=0 charging=0
[2026-05-28 18:38:40] [PROGRESS] sim_elapsed=20160s strategy=nearest_task tasks total=25 completed=25 pending=0 in_progress=0 timeout=0 vehicles idle=6 moving=0 charging=0
[2026-05-28 18:38:43] [PROGRESS] sim_elapsed=20520s strategy=nearest_task tasks total=25 completed=25 pending=0 in_progress=0 timeout=0 vehicles idle=6 moving=0 charging=0
[2026-05-28 18:38:46] [PROGRESS] sim_elapsed=20880s strategy=nearest_task tasks total=27 completed=26 pending=0 in_progress=1 timeout=0 vehicles idle=6 moving=0 charging=0
[2026-05-28 18:38:49] [PROGRESS] sim_elapsed=21240s strategy=nearest_task tasks total=27 completed=26 pending=0 in_progress=1 timeout=0 vehicles idle=5 moving=1 charging=0
[2026-05-28 18:38:52] [PROGRESS] sim_elapsed=21600s strategy=nearest_task tasks total=27 completed=26 pending=0 in_progress=1 timeout=0 vehicles idle=5 moving=1 charging=0
[2026-05-28 18:38:55] [PROGRESS] sim_elapsed=21960s strategy=nearest_task tasks total=27 completed=26 pending=0 in_progress=1 timeout=0 vehicles idle=5 moving=1 charging=0
[2026-05-28 18:38:59] [PROGRESS] sim_elapsed=22320s strategy=nearest_task tasks total=27 completed=27 pending=0 in_progress=0 timeout=0 vehicles idle=5 moving=1 charging=0
[2026-05-28 18:39:02] [PROGRESS] sim_elapsed=22680s strategy=nearest_task tasks total=27 completed=27 pending=0 in_progress=0 timeout=0 vehicles idle=5 moving=1 charging=0
[2026-05-28 18:39:05] [PROGRESS] sim_elapsed=23040s strategy=nearest_task tasks total=27 completed=27 pending=0 in_progress=0 timeout=0 vehicles idle=5 moving=0 charging=1
[2026-05-28 18:39:08] [PROGRESS] sim_elapsed=23400s strategy=nearest_task tasks total=29 completed=27 pending=0 in_progress=2 timeout=0 vehicles idle=4 moving=1 charging=1
